iter	RMSE
0	8.263543141
1	7.683212493
2	7.069180765
3	6.605684239
4	6.094429154
5	5.575419223
6	5.18538953
7	4.697446838
8	4.329279542
9	4.067284639
10	3.733252552
11	3.485321739
12	3.229507212
13	2.979045883
14	2.776802784
15	2.55761901
16	2.391671428
17	2.260144226
18	2.110957387
19	1.977641126
20	1.879930929
21	1.78315345
22	1.691462141
23	1.604916059
24	1.521036925
25	1.443735117
26	1.37142907
27	1.30203903
28	1.23696157
29	1.175570842
30	1.117899752
31	1.063206413
32	1.010774813
33	0.9606454068
34	0.9135242687
35	0.8688681084
36	0.8265521704
37	0.7864585664
38	0.7488438187
39	0.7132721874
40	0.6786749414
41	0.6463041307
42	0.6160044304
43	0.5858560372
44	0.5586394581
45	0.5315921166
46	0.5070668282
47	0.4826667129
48	0.4603419113
49	0.4394908926
50	0.4184718565
51	0.3996912333
52	0.3807552662
53	0.363842181
54	0.3467861738
55	0.3306444438
56	0.3154199226
57	0.3010651647
58	0.2875333796
59	0.2744250037
60	0.2625482996
61	0.2506842199
62	0.2396561911
63	0.2290434423
64	0.2191500882
65	0.2096069044
66	0.2007815541
67	0.1924488861
68	0.1832792067
69	0.1757890518
70	0.1683564106
71	0.1604514258
72	0.1540018776
73	0.1476299063
74	0.1408126475
75	0.1344310661
76	0.1290824617
77	0.1239085294
78	0.1184058739
79	0.1132586264
80	0.1087931678
81	0.1046050973
82	0.1001707249
83	0.09612235975
84	0.09228318994
85	0.08872634704
86	0.08544890978
87	0.08193958201
88	0.07812796395
89	0.07502134823
90	0.07215478503
91	0.06933257042
92	0.06669653159
93	0.06423566425
94	0.06176951601
95	0.05953330067
96	0.05744815209
97	0.05550536415
98	0.05335638665
99	0.05159106761
100	0.0499488067
101	0.04801774728
102	0.04622840962
103	0.04455824596
104	0.04299699647
105	0.04159238006
106	0.04008028786
107	0.03871050205
108	0.03743457077
109	0.03619154029
110	0.03503407701
111	0.03367506806
112	0.03241707194
113	0.03108262778
114	0.03008323746
115	0.02915401111
116	0.02807610543
117	0.02693097019
118	0.02597250434
119	0.02508275736
120	0.02400918694
121	0.02324059024
122	0.02244790265
123	0.02171214827
124	0.02101670231
125	0.02036979551
126	0.01976869121
127	0.01911029429
128	0.01827446233
129	0.01764790237
130	0.01706589195
131	0.01632667667
132	0.01580092252
133	0.01521242454
134	0.01467057179
135	0.01419507226
136	0.01370119596
137	0.01329181533
138	0.01291121839
139	0.01249611546
140	0.01195866534
141	0.01148167228
142	0.01116156385
143	0.01072325924
144	0.01036718165
145	0.009913628498
146	0.009596202457
147	0.00927166318
148	0.008979668622
149	0.008675052964
150	0.008413687557
151	0.008131808099
152	0.007856704649
153	0.007627642763
154	0.007380849139
155	0.007067397907
156	0.006845187718
157	0.00664865891
158	0.006436005068
159	0.006163470986
160	0.005968683626
161	0.005788099374
162	0.005619491417
163	0.005436814275
164	0.005270194471
165	0.005115720693
166	0.004966225024
167	0.004827396663
168	0.004674009858
169	0.004530644429
170	0.004317742266
171	0.004199457279
172	0.004068400207
173	0.003941661951
174	0.003823927251
175	0.003674187636
176	0.003499141797
177	0.00333499818
178	0.00324278824
179	0.003103373055
180	0.003003829832
181	0.002886497888
182	0.002763178138
183	0.002680770264
184	0.002604331821
185	0.002517300502
186	0.002446605525
187	0.002381136112
188	0.002285044827
189	0.002178148379
190	0.002111567372
191	0.002049671011
192	0.001954558746
193	0.00188970989
194	0.001809263151
195	0.001741366644
196	0.001661983002
197	0.001615731932
198	0.001560161158
199	0.001517445957
200	0.001470790328
201	0.0014248952
202	0.001376187689
203	0.001312589648
204	0.001252993103
205	0.001219385912
206	0.001181812575
207	0.00112594139
208	0.001087231257
209	0.001057292238
210	0.001025144931
211	0.0009785745387
212	0.0009453795862
213	0.0009189169362
214	0.0008943910458
215	0.0008668790875
216	0.0008257073078
217	0.0008011040406
218	0.0007635018541
219	0.0007381596644
220	0.0007068510223
221	0.00068677694
222	0.0006681699001
223	0.0006477255401
224	0.0006259052865
225	0.0006086530656
226	0.000580536865
227	0.0005652839356
228	0.0005477905424
229	0.0005218866817
230	0.0005041311144
231	0.0004882044845
232	0.0004734312644
233	0.000451109661
234	0.0004379128166
235	0.0004175160025
236	0.0004039749527
237	0.0003866738672
238	0.0003754513101
239	0.0003650472344
240	0.0003540838063
241	0.000342438608
242	0.000332785814
243	0.0003171713468
244	0.0003078337613
245	0.0002978803323
246	0.0002893276527
247	0.000275712873
248	0.0002629330788
249	0.0002557112021
250	0.0002480518996
251	0.0002364065135
252	0.000228547184
253	0.0002221052861
254	0.0002161324343
255	0.0002095514952
256	0.0002026543847
257	0.0001930977451
258	0.0001877998703
259	0.0001821915006
260	0.0001736208955
261	0.0001686158979
262	0.0001607828019
263	0.0001556612585
264	0.0001503879079
265	0.0001433073609
266	0.0001392583276
267	0.0001349029995
268	0.0001308353837
269	0.0001246500365
270	0.0001188417592
271	0.0001153992021
272	0.0001116481167
273	0.0001084608117
274	0.0001052783986
275	0.0001023302963
276	9.751954029e-05
277	9.444183909e-05
278	9.160818559e-05
279	8.730093796e-05
280	8.478871353e-05
281	8.236653962e-05
282	7.974808466e-05
283	7.598380337e-05
284	7.244949663e-05
285	7.032225832e-05
286	6.805897968e-05
287	6.608794031e-05
288	6.425782501e-05
289	6.16826691e-05
290	5.87842022e-05
291	5.606495123e-05
292	5.439626563e-05
293	5.284834446e-05
294	5.0421746e-05
295	4.87796976e-05
296	4.689356533e-05
297	4.487915444e-05
298	4.358810989e-05
299	4.238964817e-05
