iter	Logloss
0	0.5718774113
1	0.485979425
2	0.4287687297
3	0.3873437894
4	0.3549775777
5	0.3336562617
6	0.3176912732
7	0.2979835121
8	0.2854307103
9	0.2751779096
10	0.2670183068
11	0.2627141281
12	0.2574234677
13	0.2534351327
14	0.2503639026
15	0.2473428546
16	0.2444691972
17	0.2417605299
18	0.238070484
19	0.2355052348
20	0.233074697
21	0.231788806
22	0.230682715
23	0.2296580362
24	0.2280027669
25	0.2272544147
26	0.2261162407
27	0.2249413894
28	0.2240154538
29	0.2233616236
30	0.2224583479
31	0.2217623413
32	0.2207693546
33	0.2198884326
34	0.2190249367
35	0.2183801214
36	0.2176565723
37	0.2170353843
38	0.2165475118
39	0.2161054264
40	0.2151720145
41	0.2148161702
42	0.2140600722
43	0.2136119793
44	0.213095906
45	0.2128449429
46	0.2124987621
47	0.212113681
48	0.2115619335
49	0.2110608877
50	0.2104658058
51	0.2101283188
52	0.2092062589
53	0.2088603461
54	0.2085445393
55	0.2080211837
56	0.2077780846
57	0.2072461089
58	0.2069777144
59	0.2066520871
60	0.2063415997
61	0.2057812942
62	0.2054725955
63	0.2052513045
64	0.2049779284
65	0.2041560911
66	0.2038326938
67	0.2035621042
68	0.2032957365
69	0.2028425717
70	0.2022221864
71	0.2020608628
72	0.2014814445
73	0.2012954433
74	0.2009798033
75	0.2008319779
76	0.200228123
77	0.2000366393
78	0.1993209697
79	0.1991119375
80	0.1987159531
81	0.1985815435
82	0.1983790243
83	0.1981018871
84	0.1977757935
85	0.1974896889
86	0.1972866191
87	0.1971703931
88	0.1967133441
89	0.1965519793
90	0.1963458465
91	0.1961004548
92	0.1959111614
93	0.1956021435
94	0.1954656086
95	0.1952994006
96	0.1949620994
97	0.1948202585
98	0.1946733935
99	0.194560192
100	0.1942476474
101	0.1940988888
102	0.1939628252
103	0.1938435379
104	0.1935394304
105	0.1933937706
106	0.1932631694
107	0.1929556129
108	0.1927343165
109	0.1925733184
110	0.1921710197
111	0.1918108415
112	0.1917133789
113	0.1915674626
114	0.1913077944
115	0.1910972054
116	0.1908833078
117	0.1906513127
118	0.1904754247
119	0.1901209863
120	0.1899218317
121	0.189752056
122	0.1895972886
123	0.1893723709
124	0.1891108777
125	0.1888555966
126	0.1887243093
127	0.1885669021
128	0.1884063152
129	0.1882469755
130	0.1881228922
131	0.1878994797
132	0.1877577501
133	0.1875292893
134	0.1873411498
135	0.1872574866
136	0.1870497174
137	0.1868344388
138	0.1866966521
139	0.186562207
140	0.1863790433
141	0.1862539789
142	0.1860477623
143	0.1858325665
144	0.1856770278
145	0.1855171177
146	0.185388469
147	0.1852004433
148	0.1849502426
149	0.1846964518
150	0.1845212917
151	0.1843398745
152	0.1841717553
153	0.1840418278
154	0.1838822852
155	0.1837573516
156	0.1835887062
157	0.1834311689
158	0.1833010877
159	0.1831716958
160	0.1829053349
161	0.182767824
162	0.1826305762
163	0.1825042042
164	0.1823808453
165	0.182292881
166	0.1820792778
167	0.1819467969
168	0.1818772254
169	0.1817993048
170	0.1817106989
171	0.1815260636
172	0.1813402647
173	0.1812261548
174	0.1810379117
175	0.1808986279
176	0.1807808681
177	0.1806658553
178	0.180497553
179	0.1804736404
180	0.1800415042
181	0.1799166083
182	0.1797912918
183	0.179627782
184	0.1795516087
185	0.1793384576
186	0.1792263044
187	0.1790978359
188	0.1790258282
189	0.1789278968
190	0.1789003557
191	0.1787844732
192	0.178745433
193	0.178609635
194	0.1785386462
195	0.1784406984
196	0.1783529121
197	0.1782371174
198	0.178142165
199	0.1780279601
200	0.1778940731
201	0.1776923609
202	0.1775755815
203	0.1773652606
204	0.1772109366
205	0.1770770186
206	0.1769513613
207	0.1768646991
208	0.1767453458
209	0.1766753768
210	0.176560047
211	0.1764363614
212	0.176346881
213	0.176234183
214	0.1761636611
215	0.1760702956
216	0.1759887644
217	0.1759225331
218	0.1757623816
219	0.1756689936
220	0.1755713985
221	0.1754842253
222	0.1753806004
223	0.1752722373
224	0.1751700522
225	0.1751220682
226	0.1750154947
227	0.1749164729
228	0.1748143179
229	0.1747673823
230	0.1746915328
231	0.1745274209
232	0.1744036754
233	0.17429881
234	0.1741740968
235	0.1740618986
236	0.173958651
237	0.1738651865
238	0.1737721757
239	0.1736692292
240	0.1735674285
241	0.1734543625
242	0.1733552796
243	0.1732420518
244	0.1731287361
245	0.173070302
246	0.1729287632
247	0.1727953729
248	0.1727008583
249	0.1725912583
250	0.1724863946
251	0.1723841204
252	0.1723161231
253	0.1721638222
254	0.1721061042
255	0.1719298407
256	0.1718629902
257	0.1718016818
258	0.171713346
259	0.1716694999
260	0.1716171259
261	0.171560608
262	0.171442488
263	0.1713770417
264	0.1712828739
265	0.1711903713
266	0.1710688454
267	0.1709380281
268	0.1708584381
269	0.1707771246
270	0.170703941
271	0.1706890415
272	0.1705845115
273	0.1704256117
274	0.1703493103
275	0.1702137015
276	0.1700936274
277	0.1700219508
278	0.1699241756
279	0.1698329324
280	0.1697603027
281	0.1696353602
282	0.1695524458
283	0.1694750421
284	0.1693637265
285	0.1692645399
286	0.1691325695
287	0.1689688104
288	0.1688631197
289	0.1687860296
290	0.1687092349
291	0.1686285064
292	0.1685239377
293	0.1684523516
294	0.1683892916
295	0.1682686124
296	0.1681868729
297	0.1680965492
298	0.1680253874
299	0.1679256279
